Date,Game,Earnings,Players,Tournaments,ReleaseDate,Genre,TotalEarnings,TotalPlayers,TotalTournaments,Earnings_YoY_Growth,Players_YoY_Growth,Tournaments_YoY_Growth,Release_Decade
2000-10-01,FIFA 2000,50000.0,4,1,1999-01-01,Sports,50000.0,4,1,,,,2000
2000-10-01,StarCraft: Brood War,50000.0,4,1,1998-01-01,Strategy,7548789.3,658,536,694.644730234007,300.0,-50.0,2000
2000-10-01,Doom II: Hell on Earth,0.0,3,1,1994-01-01,First-Person Shooter,5108.56,14,8,,,,2000
2000-11-01,StarCraft: Brood War,17600.0,16,1,1998-01-01,Strategy,7548789.3,658,536,-64.8,300.0,0.0,2000
2000-12-01,Quake III Arena,126560.21,79,4,1999-01-01,First-Person Shooter,1197552.96,308,114,68.74694666666667,1480.0,33.33333333333333,2000
2000-12-01,Counter-Strike,23763.33,62,2,2000-01-01,First-Person Shooter,13596060.66,4264,1023,,,,2000
2000-12-01,Age of Empires II,165.53,5,2,1999-01-01,Strategy,3253232.59,1994,1613,-99.66893999999999,25.0,100.0,2000
2001-01-01,Quake III Arena,19055.71,12,3,1999-01-01,First-Person Shooter,1197552.96,308,114,-84.94336411104248,-84.81012658227847,-25.0,2000
2001-01-01,StarCraft: Brood War,5257.0,7,2,1998-01-01,Strategy,7548789.3,658,536,-70.13068181818181,-56.25,100.0,2000
2001-01-01,Counter-Strike,4720.77,35,1,2000-01-01,First-Person Shooter,13596060.66,4264,1023,-80.13422361259974,-43.548387096774185,-50.0,2000
2001-01-01,Age of Empires II,1200.0,6,2,1999-01-01,Strategy,3253232.59,1994,1613,624.9441188908355,19.999999999999996,0.0,2000
2001-02-01,Quake III Arena,3750.0,8,1,1999-01-01,First-Person Shooter,1197552.96,308,114,-80.32085920703034,-33.333333333333336,-66.66666666666667,2000
2001-03-01,Age of Empires II,1641.29,12,5,1999-01-01,Strategy,3253232.59,1994,1613,36.774166666666666,100.0,150.0,2000
2001-04-01,Counter-Strike,43711.29,41,2,2000-01-01,First-Person Shooter,13596060.66,4264,1023,825.9355994890664,17.14285714285715,100.0,2000
2001-04-01,Quake III Arena,2272.23,8,3,1999-01-01,First-Person Shooter,1197552.96,308,114,-39.407199999999996,0.0,200.0,2000
2001-04-01,Age of Empires II,200.0,1,1,1999-01-01,Strategy,3253232.59,1994,1613,-87.81446301384887,-91.66666666666666,-80.0,2000
